"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_kaniz_list_1","mass_list_match_kps_npl","mass_list_match_kps_pharmaceuticals_oct22","ms2","reference_ion","sample","group_area","peak_rating"
9235,"1-Allyl-3-[(6aS,8S)-6,12-dioxo-2-(3-thienyl)-5,6,6a,7,8,9,10,12-octahydropyrido[2,1-c][1,4]benzodiazepin-8-yl]urea_6.069","1-Allyl-3-[(6aS,8S)-6,12-dioxo-2-(3-thienyl)-5,6,6a,7,8,9,10,12-octahydropyrido[2,1-c][1,4]benzodiazepin-8-yl]urea","C21 H22 N4 O3 S","Not the top hit","Full match","No results",2.82,410.14242,433.13165,6.069,7604755.84722041,4,97.3,9.9,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+Na]+1","batch_5_31_b",7604755.84722041,7.3
9235,"1-Allyl-3-[(6aS,8S)-6,12-dioxo-2-(3-thienyl)-5,6,6a,7,8,9,10,12-octahydropyrido[2,1-c][1,4]benzodiazepin-8-yl]urea_6.069","1-Allyl-3-[(6aS,8S)-6,12-dioxo-2-(3-thienyl)-5,6,6a,7,8,9,10,12-octahydropyrido[2,1-c][1,4]benzodiazepin-8-yl]urea","C21 H22 N4 O3 S","Not the top hit","Full match","No results",2.82,410.14242,433.13165,6.069,7604755.84722041,4,97.3,9.9,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+Na]+1","batch_5_31_c",4663244.45964611,5.9
9252,"(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)(phenyl)methanone_18.85","(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)(phenyl)methanone","C17 H14 N2 O2","Not the top hit","Full match","No results",1.63,278.10598,279.11326,18.85,7580355.01986107,8,80.9,75.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",175796.062499403,5.4
9252,"(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)(phenyl)methanone_18.85","(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)(phenyl)methanone","C17 H14 N2 O2","Not the top hit","Full match","No results",1.63,278.10598,279.11326,18.85,7580355.01986107,8,80.9,75.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_a",7580355.01986107,7.8
9258,"1-(2,4-Dichlorophenyl)-N'-hydroxycyclopropanecarboximidamide_11.126","1-(2,4-Dichlorophenyl)-N'-hydroxycyclopropanecarboximidamide","C10 H10 Cl2 N2 O","No match","Full match","No results",-4.02,244.01604,245.02331,11.126,7573234.14679101,1,82,76.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",3130815.5229158,7
9258,"1-(2,4-Dichlorophenyl)-N'-hydroxycyclopropanecarboximidamide_11.126","1-(2,4-Dichlorophenyl)-N'-hydroxycyclopropanecarboximidamide","C10 H10 Cl2 N2 O","No match","Full match","No results",-4.02,244.01604,245.02331,11.126,7573234.14679101,1,82,76.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_b",2644460.04599174,6.4
9258,"1-(2,4-Dichlorophenyl)-N'-hydroxycyclopropanecarboximidamide_11.126","1-(2,4-Dichlorophenyl)-N'-hydroxycyclopropanecarboximidamide","C10 H10 Cl2 N2 O","No match","Full match","No results",-4.02,244.01604,245.02331,11.126,7573234.14679101,1,82,76.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",4952589.40300139,8
9258,"1-(2,4-Dichlorophenyl)-N'-hydroxycyclopropanecarboximidamide_11.126","1-(2,4-Dichlorophenyl)-N'-hydroxycyclopropanecarboximidamide","C10 H10 Cl2 N2 O","No match","Full match","No results",-4.02,244.01604,245.02331,11.126,7573234.14679101,1,82,76.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",6795612.72128589,8.4
9258,"1-(2,4-Dichlorophenyl)-N'-hydroxycyclopropanecarboximidamide_11.126","1-(2,4-Dichlorophenyl)-N'-hydroxycyclopropanecarboximidamide","C10 H10 Cl2 N2 O","No match","Full match","No results",-4.02,244.01604,245.02331,11.126,7573234.14679101,1,82,76.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",7573234.14679101,5.7
9521,"4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole_10.432","4-(1-Adamantyl)-2-[4-(trifluoromethoxy)phenyl]-1,3-thiazole","C20 H20 F3 N O S","Not the top hit","Full match","No results",-4.29,379.12014,380.12742,10.432,7237086.31669055,2,73.1,8.7,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_31_a",1609991.23515427,7.7
