"unique_id","sample_location","mean_group_area","mean_peak_rating","median_group_area","median_peak_rating","sd_group_area","sd_peak_rating","n_group_area","n_peak_rating","se_group_area","se_peak_rating"
"17beta-Trenbolone_19.466","sc012",463278.752594154,6.05,463278.752594154,6.05,87012.1045612609,0.777817459305202,2,2,61526.8491805805,0.55
"17beta-Trenbolone_19.466","sc013",1477373.95186258,7.5,1477373.95186258,7.5,120687.648972661,0,2,2,85339.05499403,0
"2,4,5-TRIMEO AMPHETAMINE_5.231","sc009",827830.640533719,5.6,827830.640533719,5.6,182458.839849618,0.424264068711929,2,2,129017.882945095,0.3
"2,4-Di-tert-butylphenol_18.224","sc014",1867216.67087071,8.1,1867216.67087071,8.1,25111.1195207808,0.424264068711929,2,2,17756.24289633,0.3
"2,4-Di-tert-butylphenol_18.368","sc014",3182753.86738824,7.55,3182753.86738824,7.55,42543.1795474093,0.353553390593274,2,2,30082.57075121,0.25
"2,4-Di-tert-butylphenol_18.368","sc15",3661192.97551371,8.1,3661192.97551371,8.1,260166.594695839,0.424264068711929,2,2,183965.56334764,0.3
"2-Acetylphenyl 4-methylbenzenesulfonate_1.251","sc003",927252.32568171,9.7,927252.32568171,9.7,32763.2379000876,0,2,2,23167.10769278,0
"2-Acetylphenyl 4-methylbenzenesulfonate_1.251","sc005",190731.431356088,8.05,190731.431356088,8.05,53584.3106113424,0.212132034355964,2,2,37889.8293984865,0.149999999999999
"2-Acetylphenyl 4-methylbenzenesulfonate_1.251","sc007",1280088.06718034,9.1,1280088.06718034,9.1,11788.5730874512,0,2,2,8335.77997064998,0
"2-Acetylphenyl 4-methylbenzenesulfonate_1.251","sc011",498502.801759738,8.25,498502.801759738,8.25,40060.4948773124,0.777817459305203,2,2,28327.0475854365,0.55
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_10.777","sc014",1536662.47105616,8.6,1536662.47105616,8.6,29309.5936189479,0,2,2,20725.01240178,0
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_10.777","sc15",2370862.29479875,7,2370862.29479875,7,103999.483554888,0.424264068711928,2,2,73538.7400615602,0.3
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_12.001","sc003",3843740.63800623,7,3843740.63800623,7,160685.475305935,0.424264068711928,2,2,113621.78922701,0.3
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_12.001","sc008",2518057.25147925,8.1,2518057.25147925,8.1,270387.515316544,1.13137084989848,2,2,191192.84562851,0.8
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_12.001","sc009",1716643.88861944,7.55,1716643.88861944,7.55,27108.3709111157,1.20208152801713,2,2,19168.51289817,0.85
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_12.001","sc014",91858144.5602525,8.4,91858144.5602525,8.4,578565.544351741,0,2,2,409107.619772002,0
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_12.001","sc020",4287534.52467361,7.85,4287534.52467361,7.85,830112.949816195,0.777817459305203,2,2,586978.4959658,0.55
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_12.001","sc023",42851993.2005991,8.4,42851993.2005991,8.4,7805857.9413483,0,2,2,5519575.08330625,0
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_12.001","sc15",102846413.867952,9.5,102846413.867952,9.5,2066889.5948686,0,2,2,1461511.6484955,0
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_12.001","sc16",11761973.3689548,8.4,11761973.3689548,8.4,178567.087977394,0,2,2,126265.99880555,0
"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one_7.415","sc014",3983671.88975709,5.4,3983671.88975709,5.4,730156.466118851,0.424264068711929,2,2,516298.588519845,0.3
"2-Ethylmethcathinone_14.198","sc008",1423790.67132682,6.65,1423790.67132682,6.65,84631.7822890984,1.90918830920368,2,2,59843.707160525,1.35
"2-Ethylmethcathinone_14.198","sc012",217654.145125938,7.1,217654.145125938,7.1,26302.6526880419,0.424264068711929,2,2,18598.784078909,0.3
"2-Ethylmethcathinone_14.641","sc003",6196512.29107477,8.1,6196512.29107477,8.1,425746.601416481,0.424264068711929,2,2,301048.30892872,0.3
"2-Ethylmethcathinone_14.641","sc007",23115887.4586891,8.4,23115887.4586891,8.4,811060.621668608,0,2,2,573506.46553525,0
"2-Ethylmethcathinone_14.641","sc008",24412809.5888301,9.2,24412809.5888301,9.2,47017.8482242957,0.424264068711928,2,2,33246.6393161993,0.3
"2-Ethylmethcathinone_14.641","sc009",154583919.521536,8.95,154583919.521536,8.95,11604874.4968083,0.777817459305202,2,2,8205885.45151199,0.55
"2-Ethylmethcathinone_14.641","sc010",16907872.7575493,8.4,16907872.7575493,8.4,336232.258509097,0,2,2,237752.110045451,0
"2-Ethylmethcathinone_14.641","sc011",9929064.94201301,8.95,9929064.94201301,8.95,449488.1804299,0.777817459305202,2,2,317836.140445185,0.55
"2-Ethylmethcathinone_14.641","sc012",88836843.4477275,9.5,88836843.4477275,9.5,4055304.29700764,0,2,2,2867533.16818905,0
"2-Ethylmethcathinone_14.641","sc013",12288359.5779354,8.4,12288359.5779354,8.4,1088669.43267803,0,2,2,769805.538317149,0
"2-Ethylmethcathinone_14.641","sc014",24516505.4558001,8.4,24516505.4558001,8.4,555168.134358245,0,2,2,392563.152503399,0
"2-Ethylmethcathinone_14.641","sc020",5040125.61684091,8.35,5040125.61684091,8.35,1118518.31524077,0.777817459305203,2,2,790911.8855881,0.55
"2-Ethylmethcathinone_14.641","sc023",14092855.7095893,8.4,14092855.7095893,8.4,450169.081330762,0,2,2,318317.6100895,0
"2-Ethylmethcathinone_14.641","sc15",16841092.4138748,7.3,16841092.4138748,7.3,226640.886385547,1.5556349186104,2,2,160259.30765735,1.1
"2-Ethylmethcathinone_14.641","sc16",10679218.1322431,7.55,10679218.1322431,7.55,305795.110641012,1.20208152801713,2,2,216229.79638795,0.85
"2-Ethylmethcathinone_14.641","sc17",5132508.32556964,8.4,5132508.32556964,8.4,261504.953922882,0,2,2,184911.926232745,0
