"peak_number","name","formula","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",363.17518,364.18246,21.133,"mz_cloud",365209.476238501,"lotsane dam surface water"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",363.17518,364.18246,21.133,"mz_cloud",388990.398790724,"francistown wwtp surface water"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",363.17518,364.18246,21.133,"mz_cloud",297626.190297916,"kasane wwtp (main) surface water"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",363.17518,364.18246,21.133,"mz_cloud",204733.181009621,"kasane wwtp (overflow) surface water"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",363.17518,364.18246,21.133,"mz_cloud",225684.231432905,"kasane (main) surface water"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",363.17518,364.18246,21.133,"mz_cloud",201101.426208778,"glen valley (reclamation) surface water"
9429,"(4aR,7aS)-6-Isobutyl-4-(4-pyridinylmethyl)hexahydropyrrolo[3,4-b][1,4]oxazin-3(2H)-one","C16 H23 N3 O2",289.17923,290.18651,7.277,"mz_cloud",296548.717386366,"kasane wwtp (main) surface water"
918,"(4aS,9aR)-2-Benzoyl-7-[2-(1H-imidazol-4-yl)ethyl]decahydro-6H-pyrido[3,4-d]azepin-6-one","C21 H26 N4 O2",366.20428,389.19351,17.585,"mz_cloud",9344709.8432532,"glen valley (reclamation) surface water"
910,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate","C18 H19 F N4 O2 S",374.12262,375.1299,9.574,"mz_cloud",1392133.17494754,"palapye wwtp (eff) waste water"
910,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate","C18 H19 F N4 O2 S",374.12262,375.1299,9.574,"mz_cloud",2336959.34923944,"palapye wwtp surface water"
